	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
100001_at	2.26000	20.14000	31.66000	14.58000	16.04000	15.81000	15.96000	1.12000	7.98000	24.62000	11.05000	32.70000	29.18000	38.89000	5.54000	15.67000	8.80000	28.37000	30.26000	24.83000	24.99000	18.99000	30.51000	19.64000	19.68000	21.78000	
100002_at	158.86000	236.25000	206.27000	388.71000	388.09000	159.06000	233.64000	129.75000	105.07000	390.03000	289.11000	249.84000	135.96000	146.09000	110.57000	115.40000	243.96000	243.21000	134.02000	123.09000	1516.70000	1492.76000	1721.66000	1938.57000	1688.10000	1726.40000	
100003_at	68.11000	105.45000	82.92000	82.90000	60.38000	90.98000	64.23000	94.79000	68.63000	55.68000	57.05000	31.57000	77.53000	72.38000	75.91000	49.68000	47.68000	64.75000	39.75000	33.00000	24.97000	18.00000	16.62000	23.86000	18.66000	18.47000	
100004_at	74.32000	96.68000	84.87000	72.26000	98.38000	89.42000	89.19000	141.82000	68.80000	105.07000	82.02000	132.80000	98.07000	156.57000	94.18000	82.15000	87.18000	69.68000	106.69000	117.48000	74.21000	77.31000	87.02000	83.88000	98.26000	98.47000	
100005_at	75.05000	53.17000	57.94000	60.06000	63.91000	70.80000	37.27000	39.83000	67.50000	35.50000	77.34000	41.14000	70.42000	113.27000	140.75000	127.59000	99.41000	116.54000	115.68000	115.42000	168.65000	97.34000	135.40000	121.13000	110.48000	102.85000	
100006_at	80.36000	42.89000	77.21000	77.24000	40.31000	94.85000	88.64000	153.75000	192.92000	149.67000	287.47000	177.86000	101.13000	138.88000	127.80000	112.53000	125.39000	88.61000	72.60000	80.12000	49.33000	44.76000	34.93000	32.49000	31.84000	33.53000	
100007_at	216.64000	191.32000	219.48000	237.28000	298.18000	262.44000	250.43000	263.09000	179.91000	184.44000	185.88000	285.13000	257.17000	193.74000	409.45000	385.28000	351.18000	333.18000	414.08000	325.10000	408.14000	401.99000	431.09000	430.75000	381.23000	405.05000	
100009_r_at	3806.74000	1425.00000	2468.50000	2172.70000	2237.15000	2323.95000	2935.95000	1371.49000	1493.60000	1129.50000	1989.67000	1310.95000	1159.13000	1663.95000	477.49000	560.65000	642.77000	479.66000	455.89000	478.93000	1018.70000	983.15000	841.58000	809.48000	752.54000	737.30000	
100010_at	NaN	NaN	NaN	7.18000	22.37000	NaN	4.17000	NaN	13.24000	NaN	9.42000	16.08000	10.23000	0.15000	35.33000	41.33000	67.64000	52.16000	42.65000	45.62000	22.48000	28.25000	18.65000	22.96000	29.73000	38.66000	
100011_at	81.72000	72.27000	127.61000	91.01000	98.13000	83.55000	78.43000	127.92000	114.88000	131.77000	95.22000	129.41000	77.30000	122.09000	85.62000	87.86000	124.64000	128.72000	80.46000	101.45000	82.92000	89.61000	75.19000	84.46000	64.60000	54.94000	
100012_at	130.34000	236.35000	163.23000	181.94000	183.76000	156.44000	133.21000	214.59000	171.66000	319.23000	165.91000	204.38000	201.57000	134.68000	171.77000	151.79000	174.52000	161.25000	194.58000	144.05000	97.25000	101.44000	150.99000	111.76000	97.97000	122.32000	
100013_at	NaN	13.98000	NaN	NaN	NaN	7.87000	2.72000	7.00000	12.20000	NaN	NaN	10.97000	13.29000	NaN	NaN	4.75000	2.99000	9.37000	7.63000	8.52000	NaN	NaN	4.64000	10.97000	21.63000	7.86000	
100014_at	93.35000	116.06000	110.29000	82.56000	88.51000	104.64000	90.22000	103.56000	98.97000	120.65000	103.81000	79.76000	62.86000	84.46000	86.10000	93.39000	114.07000	97.48000	99.61000	110.53000	118.80000	103.97000	93.58000	100.28000	128.19000	151.21000	
100015_at	43.82000	52.27000	67.61000	36.00000	29.78000	63.42000	51.73000	60.79000	39.85000	54.98000	41.26000	18.01000	42.39000	60.42000	54.59000	26.29000	30.16000	39.98000	37.40000	26.38000	82.35000	57.63000	34.12000	51.15000	32.41000	58.63000	
100016_at	14.29000	NaN	10.89000	33.29000	57.25000	17.02000	14.17000	28.36000	32.32000	17.01000	18.56000	48.19000	37.12000	55.77000	30.64000	31.07000	26.54000	44.43000	31.05000	22.41000	47.21000	40.78000	30.07000	38.85000	41.84000	37.02000	
100017_at	42.92000	59.43000	51.61000	29.45000	45.82000	50.95000	65.04000	50.54000	42.83000	49.30000	56.87000	35.89000	48.65000	54.84000	65.82000	59.61000	43.16000	85.05000	51.50000	41.87000	51.29000	61.96000	67.87000	68.53000	55.06000	50.00000	
